Simulation, Total_Death
0, 89
1, 87
2, 85
3, 88
4, 84
5, 93
6, 87
7, 82
8, 69
9, 84
10, 87
11, 74
12, 85
13, 74
14, 83
15, 94
16, 90
17, 72
18, 88
19, 88
20, 71
21, 82
22, 92
23, 86
24, 84
25, 80
26, 83
27, 88
28, 83
29, 88
30, 84
31, 88
32, 76
33, 88
34, 89
35, 82
36, 86
37, 87
38, 81
39, 82
40, 85
41, 86
42, 90
43, 91
44, 87
45, 80
46, 75
47, 93
48, 85
49, 84
50, 84
51, 93
52, 90
53, 87
54, 89
55, 75
56, 87
57, 83
58, 90
59, 86
60, 81
61, 84
62, 88
63, 81
64, 84
65, 85
66, 90
67, 92
68, 88
69, 84
70, 76
71, 86
72, 89
73, 84
74, 84
75, 81
76, 81
77, 79
78, 78
79, 88
