Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1
2, 2, 0, 0, 2, 2, 2, 2, 0, 1, 1
3, 2, 0, 0, 2, 2, 3, 2, 0, 1, 1
4, 2, 0, 0, 3, 2, 3, 2, 0, 1, 1
5, 2, 1, 0, 3, 2, 3, 2, 0, 1, 2
6, 2, 1, 0, 3, 2, 3, 2, 0, 1, 2
7, 2, 1, 0, 3, 2, 3, 3, 0, 1, 2
8, 2, 1, 0, 3, 2, 3, 3, 0, 1, 2
9, 2, 1, 0, 3, 2, 3, 3, 0, 1, 2
10, 2, 1, 0, 3, 2, 3, 3, 0, 2, 2
11, 2, 1, 0, 3, 2, 3, 4, 0, 2, 2
12, 2, 2, 1, 3, 2, 3, 4, 0, 2, 2
13, 2, 3, 2, 3, 2, 3, 4, 0, 3, 2
14, 2, 4, 2, 3, 2, 3, 4, 0, 3, 2
15, 2, 4, 2, 3, 2, 3, 4, 0, 3, 2
16, 2, 5, 2, 3, 2, 3, 4, 0, 3, 2
17, 2, 5, 2, 3, 2, 3, 4, 0, 3, 2
18, 2, 5, 2, 3, 2, 3, 4, 0, 3, 2
19, 2, 5, 2, 3, 2, 3, 4, 0, 3, 2
20, 2, 5, 2, 3, 2, 3, 4, 1, 3, 2
21, 2, 5, 2, 3, 2, 3, 4, 1, 3, 2
22, 2, 5, 2, 3, 2, 3, 4, 1, 3, 2
23, 2, 5, 2, 3, 2, 3, 4, 1, 3, 2
24, 2, 5, 2, 3, 2, 3, 4, 1, 3, 2
25, 2, 5, 2, 3, 2, 3, 4, 1, 3, 2
26, 2, 5, 2, 3, 2, 3, 4, 1, 3, 2
27, 2, 5, 2, 3, 2, 3, 4, 1, 3, 2
28, 2, 5, 2, 3, 2, 3, 4, 1, 3, 3
29, 2, 5, 2, 3, 2, 3, 4, 1, 3, 3
30, 2, 5, 2, 3, 2, 3, 4, 1, 3, 3
31, 2, 5, 2, 3, 2, 3, 4, 1, 3, 3
32, 2, 5, 2, 3, 2, 3, 4, 1, 3, 3
33, 2, 6, 2, 3, 2, 3, 4, 1, 3, 3
34, 2, 6, 2, 3, 2, 3, 5, 1, 3, 3
35, 2, 6, 2, 3, 2, 3, 5, 1, 3, 3
36, 2, 6, 2, 3, 2, 3, 5, 1, 3, 3
37, 2, 6, 2, 3, 2, 3, 5, 1, 3, 3
38, 2, 6, 2, 3, 2, 3, 5, 1, 3, 3
39, 2, 6, 2, 3, 2, 3, 5, 1, 3, 3
40, 2, 6, 2, 3, 2, 3, 5, 1, 3, 3
41, 2, 6, 3, 3, 2, 3, 5, 1, 3, 3
42, 2, 6, 3, 3, 2, 3, 5, 1, 3, 3
43, 2, 6, 3, 3, 2, 3, 5, 1, 3, 3
44, 2, 6, 3, 3, 2, 3, 5, 1, 3, 3
45, 2, 6, 3, 3, 2, 3, 5, 1, 3, 3
46, 2, 6, 3, 3, 2, 3, 5, 1, 3, 3
47, 2, 6, 3, 3, 2, 3, 5, 1, 3, 3
48, 2, 7, 3, 3, 2, 3, 5, 1, 3, 3
49, 2, 7, 3, 3, 2, 3, 5, 1, 3, 3
50, 2, 7, 3, 3, 2, 3, 5, 1, 3, 3
51, 2, 7, 3, 3, 2, 3, 5, 1, 3, 3
52, 2, 7, 3, 3, 2, 3, 5, 1, 3, 3
53, 2, 7, 4, 3, 2, 3, 5, 1, 3, 3
54, 2, 7, 4, 3, 2, 3, 5, 1, 3, 3
55, 2, 7, 4, 3, 2, 3, 5, 1, 3, 3
56, 2, 7, 4, 3, 2, 3, 5, 1, 3, 3
57, 2, 7, 4, 3, 3, 3, 5, 1, 3, 3
58, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
59, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
60, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
61, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
62, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
63, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
64, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
65, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
66, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
67, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
68, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
69, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
70, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
71, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
72, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
73, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
74, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
75, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
76, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
77, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
78, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
79, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
80, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
81, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
82, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
83, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
84, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
85, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
86, 2, 7, 4, 3, 4, 3, 5, 1, 3, 3
87, 3, 7, 4, 3, 4, 3, 5, 1, 3, 3
